Timestamp;pix_x_v;yaw_angvel_100
31843000;0;52
31870000;0;-14
31897000;0;-14
31924000;0;27
31951000;0;-2
31977000;0;-2
32004000;0;9
32031000;-39;107
32058000;-40;150
32085000;0;174
32111000;-63;27
32138000;0;-2
32165000;0;-8
32192000;0;3
32219000;0;-14
32246000;0;-33
32272000;0;27
32299000;0;168
32326000;-88;272
32353000;-73;394
32380000;-132;540
32407000;-149;552
32434000;-157;546
32460000;-162;473
32487000;-125;540
32514000;-150;656
32541000;-225;711
32568000;-204;681
32595000;-190;491
32622000;-174;339
32649000;-36;-51
32676000;34;-39
32703000;0;-14
32730000;0;-45
32757000;0;-63
32784000;0;-26
32811000;0;-2
32837000;0;-20
32864000;0;-2
32891000;0;3
32917000;0;27
32944000;0;-2
32971000;0;3
32998000;0;-2
33025000;0;-8
33052000;0;3
33079000;0;-2
33106000;0;3
33133000;0;-2
33160000;0;15
33187000;0;3
33213000;0;27
33240000;0;46
33267000;0;3
33293000;0;9
33320000;0;15
33347000;0;9
33374000;-39;82
33401000;-45;52
33428000;0;9
33455000;0;-45
33482000;0;9
33509000;0;9
33536000;0;-8
33563000;0;-14
33589000;0;-33
33616000;0;-26
33643000;0;3
33670000;0;21
33697000;0;-8
33724000;0;-51
33751000;0;-39
33778000;0;-2
33805000;0;9
33832000;0;15
33859000;0;-2
33886000;0;-2
33913000;0;15
33940000;0;9
33966000;0;-2
33993000;0;-8
34019000;0;21
34046000;0;-26
34073000;0;-26
34100000;0;-2
34127000;0;-33
34154000;0;-2
34181000;0;3
34208000;0;3
34235000;0;-2
34262000;0;-20
34289000;0;-2
34315000;0;-2
34342000;0;-14
34369000;0;-2
34395000;0;3
34422000;0;-14
34448000;0;-8
34475000;0;3
34501000;0;-2
34528000;0;15
34555000;0;9
34582000;0;-2
34609000;0;9
34635000;0;-2
