Timestamp;pix_x_v;yaw_angvel_100
25801000;-2079;9520
25828000;-3145;9898
25855000;-3127;9404
25882000;-2700;7567
25909000;-1484;6010
25936000;-2097;4564
25963000;-1039;2678
25990000;-570;1152
26016000;-169;-7
26043000;0;-129
26070000;0;-19
26097000;0;-1
26123000;0;17
26150000;0;78
26177000;0;-7
26204000;0;35
26231000;0;-25
26258000;0;-80
26285000;0;-220
26312000;74;-361
26339000;153;-495
26366000;143;-550
26392000;152;-623
26419000;200;-648
26446000;167;-654
26473000;151;-648
26500000;262;-641
26527000;190;-568
26554000;191;-532
26581000;152;-532
26608000;160;-513
26635000;159;-452
26662000;139;-446
26689000;119;-507
26716000;118;-568
26743000;215;-629
26769000;170;-684
26796000;189;-733
26823000;281;-873
26850000;304;-1008
26877000;372;-1087
26904000;340;-1124
26931000;302;-1197
26958000;333;-1392
26985000;397;-1484
27012000;492;-1526
27039000;513;-1526
27066000;422;-1520
27092000;423;-1502
27119000;426;-1496
27145000;469;-1478
27172000;378;-1569
27199000;501;-1697
27226000;496;-2021
27253000;565;-2460
27280000;647;-3040
27307000;1049;-3626
27334000;1434;-4474
27361000;1046;-5597
27388000;1379;-7184
27415000;1630;-8478
27442000;1660;-10285
27469000;1589;-11439
27496000;1690;-12006
27522000;1604;-11274
27549000;1549;-9321
27576000;1978;-7520
27603000;1500;-4413
27630000;1328;-2198
27657000;545;-367
27684000;0;542
27711000;-143;749
27738000;-296;737
27765000;-227;627
27792000;-182;365
27819000;-81;29
27846000;0;5
27872000;3;23
27899000;-3;-1
27926000;0;11
27952000;0;17
27979000;0;5
28006000;0;29
28033000;0;29
28060000;0;41
28087000;3;17
28114000;-45;90
28141000;-38;285
28168000;-164;584
28195000;-229;810
28222000;-319;1060
28249000;-389;1042
28275000;-325;993
28302000;-455;975
28329000;-338;1244
28356000;0;1500
28383000;0;1933
28410000;0;2208
28437000;-2008;2361
28464000;-814;2464
28491000;-733;2507
28518000;-1045;2525
28545000;-955;2507
28572000;-814;2605
28599000;-899;2757
28626000;-660;2843
28652000;-1154;2702
28679000;-1081;2519
28706000;-650;2367
28733000;-769;2330
28760000;-907;2434
28787000;-621;2690
28814000;-741;2904
28841000;-1109;3130
28868000;-1156;3313
28895000;-1343;3917
28922000;-920;4277
28949000;-1228;4820
28976000;-1246;5540
29002000;-1584;6651
29029000;-2358;7274
29055000;-2441;7805
29082000;-2307;7793
29109000;-1693;7109
29136000;-2470;6181
29163000;-1667;4198
29190000;-997;2232
29217000;-456;725
29243000;-129;-104
29270000;45;114
29297000;-39;139
29323000;-84;603
29350000;-267;1054
29377000;-270;1433
29404000;-420;1616
29431000;-465;1463
29458000;-377;1036
29485000;-236;694
29511000;-147;365
29538000;-89;-7
29564000;0;-68
29591000;38;-19
29618000;0;-110
29645000;84;-312
29672000;81;-593
29699000;184;-873
29726000;285;-1343
29753000;385;-1557
29780000;459;-1606
29806000;579;-1575
29833000;343;-1471
29860000;310;-1374
29887000;482;-1374
29914000;494;-1600
29941000;553;-2045
29968000;566;-2375
29995000;821;-2436
30021000;827;-2332
30048000;525;-2216
30075000;560;-2118
30102000;621;-2088
30129000;495;-2369
30156000;682;-2613
30183000;674;-2918
30210000;953;-3065
30237000;740;-3071
30264000;1044;-3235
30291000;1081;-3541
30318000;1387;-3956
30345000;761;-4133
30372000;1364;-4261
30398000;1455;-4560
30425000;1437;-4810
30452000;1121;-4700
30479000;1694;-4487
30505000;1089;-4096
30532000;901;-3058
30559000;796;-2051
30586000;580;-1081
30613000;281;-239
30640000;0;139
30667000;-41;-43
30693000;42;72
30720000;0;29
30747000;-40;47
30774000;0;29
30801000;-42;230
30828000;-78;578
30854000;-280;1030
30880000;-392;1469
30907000;-542;1720
30934000;-479;1714
30961000;-553;1512
30988000;-457;1170
31015000;-280;908
31042000;-287;700
31069000;-190;548
31096000;-158;578
31123000;-180;627
31149000;-213;798
31176000;-358;1237
31203000;-309;1622
31229000;-609;1915
31256000;-644;2299
31283000;-704;2354
31310000;-653;2440
31337000;-596;2592
31364000;-792;2733
31390000;-750;3044
31417000;-907;3227
31444000;-1017;3178
31470000;-790;2934
31497000;-755;2837
31523000;-798;2867
31550000;-690;3166
31577000;-920;3600
31604000;-1137;3777
31631000;-1356;3960
31658000;-956;4106
31684000;-1089;4100
31711000;-1500;3923
31738000;-1195;3508
31765000;-853;3252
31792000;-1022;3020
31819000;-879;2934
31846000;-608;3001
31873000;-829;3209
31899000;-949;3447
31926000;-1104;3734
31953000;-981;3746
31980000;-1262;3654
32007000;-786;3648
32034000;-952;3648
32061000;-749;3557
32088000;0;3099
32115000;0;2568
32141000;-21764;2159
32167000;-12855;1958
32194000;0;1530
32221000;0;1012
32248000;0;737
32275000;0;407
32302000;0;17
32329000;0;-43
32356000;0;-43
32383000;0;-117
32410000;0;-80
32436000;0;-13
32463000;0;-31
32490000;0;-98
32516000;0;-226
32543000;0;-532
32570000;0;-904
32597000;0;-1191
32624000;0;-1447
32651000;0;-1679
32678000;0;-1764
32705000;0;-1984
32732000;0;-2051
32759000;0;-1813
32786000;0;-1606
32813000;0;-1435
32840000;0;-1417
32866000;0;-1453
32892000;0;-1563
32918000;0;-1746
32945000;0;-1935
32972000;0;-2088
32999000;0;-2210
33026000;0;-2179
33053000;0;-2100
33080000;0;-1966
33107000;0;-1929
33134000;0;-1978
33161000;632;-2399
33187000;718;-2765
33214000;854;-3248
33241000;1044;-3663
33268000;869;-4065
33294000;1081;-4450
33321000;1331;-4523
33348000;1216;-4419
33374000;1187;-4108
33401000;924;-3425
33428000;751;-2692
33455000;541;-1807
33482000;472;-1111
33509000;266;-373
33536000;41;59
33563000;-39;-13
33590000;0;41
33617000;0;66
33644000;0;59
33671000;-38;182
33697000;-81;450
33724000;-85;627
33751000;-211;1042
33778000;-279;1280
33805000;-431;1414
33832000;-466;1329
33859000;-313;1140
33886000;-325;932
33913000;-257;841
33940000;-167;658
33967000;-241;554
33994000;-155;554
34021000;-184;810
34048000;-305;1305
34075000;-360;1726
34101000;-682;1994
34128000;-642;2129
34155000;-606;2025
34182000;-624;1884
34209000;-466;1732
34236000;-349;1518
34263000;-490;1341
34290000;-458;1195
34317000;-334;1067
34344000;-232;1060
34371000;-266;1299
34397000;-342;1567
34424000;-456;2153
34450000;-775;2983
34477000;-778;3575
34504000;-1332;4637
34531000;-1260;5473
34558000;-1595;5357
34585000;-1507;4631
34612000;-974;3123
34639000;-965;2092
34666000;-588;1268
34693000;-276;462
34720000;-69;151
34747000;0;151
34774000;-96;188
34801000;-96;121
34827000;0;-1
34854000;0;-153
34881000;0;-147
34908000;91;-281
34935000;85;-446
34961000;199;-355
34988000;73;-123
35015000;0;47
35041000;40;-31
35068000;40;-171
35095000;75;-446
35121000;180;-641
35148000;239;-757
35175000;325;-916
35202000;286;-1044
35228000;367;-1124
35254000;502;-1398
35280000;350;-1557
35307000;455;-1581
35333000;386;-1496
35360000;346;-1374
35387000;377;-1240
35414000;428;-1227
35440000;413;-1172
35467000;326;-1136
35494000;243;-1185
35521000;400;-1288
35548000;383;-1410
35575000;497;-1551
35602000;517;-1630
35629000;587;-1703
35656000;607;-1899
35683000;568;-1966
35710000;604;-1996
35737000;791;-1996
35763000;414;-2149
35789000;790;-2643
35816000;1095;-3687
35843000;784;-4786
35869000;1391;-5335
35896000;1384;-5378
35923000;1153;-5311
35949000;1320;-4645
35976000;1325;-3638
36003000;725;-2595
36030000;517;-1557
36057000;449;-928
36084000;209;-318
36111000;42;17
36138000;0;59
36164000;0;66
36191000;0;47
36218000;0;5
36244000;0;78
36271000;0;133
36297000;-83;359
36324000;-109;554
36351000;-181;609
36378000;-190;670
36405000;-183;719
36432000;-256;731
36459000;-276;798
36486000;-191;926
36512000;-306;1170
36538000;-416;1396
36565000;-300;1616
36592000;-477;1726
36619000;-509;1567
36646000;-407;1372
36673000;-322;1091
36700000;-306;1024
36727000;-343;1170
36754000;-261;1390
36781000;-314;1677
36808000;-570;1891
36835000;-693;2281
36862000;-803;2385
36888000;-563;2226
36914000;-711;2116
36941000;-607;2422
36968000;-705;3307
36995000;-893;4948
37022000;-1641;5840
37049000;-1637;6358
37076000;-1724;5974
37103000;-1527;4790
37130000;-1243;3374
37157000;-689;1787
37184000;-489;542
37211000;-75;-208
37238000;203;-446
37265000;76;-440
37291000;174;-525
37318000;176;-727
37345000;231;-873
37372000;302;-1002
37398000;305;-1148
37425000;405;-1282
37452000;277;-1191
37479000;311;-971
37506000;252;-831
37532000;216;-788
37559000;223;-825
37586000;320;-861
37613000;324;-1056
37640000;482;-1301
37666000;330;-1356
37693000;412;-1233
37720000;334;-1264
37747000;387;-1362
37774000;408;-1404
37801000;434;-1313
37828000;322;-1191
37854000;394;-1026
37881000;322;-825
37907000;191;-690
37934000;247;-684
37961000;189;-794
37988000;268;-1148
38014000;372;-1490
38040000;479;-1978
38067000;559;-2759
38094000;1258;-4120
38121000;985;-5170
38148000;1688;-5854
38175000;1198;-6464
38202000;1219;-6501
38229000;1405;-5939
38256000;1299;-5054
38282000;985;-3400
38309000;957;-1899
38336000;416;-696
38363000;0;249
38390000;-82;285
38416000;-117;365
38443000;-125;462
38470000;-72;536
38497000;-167;536
38524000;-185;536
38551000;-185;511
38578000;-197;517
38604000;-83;499
38630000;-156;505
38657000;-163;542
38683000;-81;566
38710000;-204;560
38737000;-172;542
38764000;-149;536
38790000;-175;609
38817000;-197;731
38844000;-199;822
38871000;-232;932
38898000;-316;993
38925000;-242;1067
38952000;-353;1244
38979000;-430;1482
39006000;-398;1646
39033000;-552;1909
39060000;-488;2000
39087000;-600;2007
39114000;-688;1964
39140000;-559;1799
39167000;-476;1671
39194000;-531;1787
39221000;-417;2092
39248000;-709;2660
39275000;-907;3740
